OID_,ADDRESS,NUMBER_OF_PAYPHONES,BUROUGH,BUROUGH_ID,OPERATOR,COMMUNITY_BOARD,POINT,LATITUDE,LONGITUDE,LOCATION,ADVERTISING,WI_FI
1,2844 HYLAND BOULEVARD,1,STATEN ISLAND,2,CBS OUTDOOR LLC,3,POINT (-74.11654575 40.56362006),40.563620060000000,-74.116545750000000,CURBSIDE,FALSE,FALSE
2,2146 FOREST AVENUE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.16096268 40.62656787),40.626567870000000,-74.160962680000000,CURBSIDE,FALSE,FALSE
3,375 PORT RICHMOND AVENUE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.13718805 40.63270311),40.632703110000000,-74.137188050000000,CURBSIDE,FALSE,FALSE
4,1788 FOREST AVENUE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.14834701 40.62505873),40.625058730000000,-74.148347010000000,CURBSIDE,FALSE,FALSE
5,545 TARGEE STREET,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.08481488 40.61364169),40.613641690000000,-74.084814880000000,CURBSIDE,FALSE,FALSE
6,1821 RICHMOND AVENUE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,2,POINT (-74.1627118 40.60370947),40.603709470000000,-74.162711800000000,CURBSIDE,FALSE,FALSE
7,1521 BAY STREET,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.06063694 40.60665776),40.606657760000000,-74.060636940000000,CURBSIDE,FALSE,FALSE
8,1805 FOREST AVENUE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.14926588 40.62517557),40.625175570000000,-74.149265880000000,CURBSIDE,FALSE,FALSE
9,67 SAND LANE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,2,POINT (-74.07164049 40.59774456),40.597744560000000,-74.071640490000000,CURBSIDE,FALSE,FALSE
10,1151 HYLAN BOULEVARD,1,STATEN ISLAND,2,CBS OUTDOOR LLC,2,POINT (-74.08137486 40.59860818),40.598608180000000,-74.081374860000000,CURBSIDE,FALSE,FALSE
11,1671 HYLAN BOULEVARD,1,STATEN ISLAND,2,CBS OUTDOOR LLC,2,POINT (-74.09029892 40.58858024),40.588580240000000,-74.090298920000000,CURBSIDE,FALSE,FALSE
12,2878 VICTORY BOULEVARD,2,STATEN ISLAND,2,CBS OUTDOOR LLC,2,POINT (-74.15824889 40.60786584),40.607865840000000,-74.158248890000000,CURBSIDE,FALSE,FALSE
13,595 TARGEE STREET,1,STATEN ISLAND,2,CBS OUTDOOR LLC,1,POINT (-74.08492553 40.6128511),40.612851100000000,-74.084925530000000,CURBSIDE,TRUE,FALSE
14,3901 RICHMOND AVENUE,1,STATEN ISLAND,2,CBS OUTDOOR LLC,3,POINT (-74.16390237 40.54297614),40.542976140000000,-74.163902370000000,CURBSIDE,TRUE,TRUE
